PlayerID,PlayerTrueName,Poss
689,"Afflalo, Arron",9167
607,"Aldridge, LaMarcus",11757
166,"Allen, Ray",10880
501,"Allen, Tony",5761
903,"Aminu, Al-Farouq",5595
653,"Amundson, Louis",2714
73,"Andersen, Chris",2941
779,"Anderson, Ryan",5449
25,"Anthony, Carmelo",10904
700,"Anthony, Joel",5457
313,"Arenas, Gilbert",6959
245,"Ariza, Trevor",9709
277,"Arroyo, Carlos",4470
145,"Artest, Ron",9179
768,"Arthur, Darrell",6184
880,"Asik, Omer",3711
754,"Augustin, D.J.",10365
16,"Barbosa, Leandro",5438
563,"Barea, Jose",6279
612,"Bargnani, Andrea",9181
241,"Barnes, Matt",3876
83,"Bass, Brandon",7402
198,"Battier, Shane",9339
736,"Batum, Nicolas",9337
735,"Bayless, Jerryd",5696
772,"Beasley, Michael",9552
673,"Belinelli, Marco",7275
7,"Bell, Raja",8057
68,"Bibby, Mike",8486
101,"Biedrins, Andris",5549
271,"Billups, Chauncey",9123
858,"Blair, DeJuan",6704
355,"Blake, Steve",5937
413,"Blatche, Andray",8470
904,"Bledsoe, Eric",7058
366,"Bogans, Keith",5473
49,"Bogut, Andrew",8527
330,"Bonner, Matt",5472
935,"Booker, Trevor",4139
518,"Boozer, Carlos",7084
319,"Bosh, Chris",10616
35,"Boykins, Earl",3230
167,"Brand, Elton",10681
712,"Brewer, Corey",6134
617,"Brewer, Ronnie",6715
855,"Brockman, Jon",2552
666,"Brooks, Aaron",5040
808,"Brown, Derrick",2184
189,"Brown, Kwame",6302
560,"Brown, Shannon",5957
186,"Bryant, Kobe",10569
823,"Budinger, Chase",6828
324,"Butler, Caron",3304
76,"Butler, Rasual",2969
194,"Bynum, Andrew",5593
532,"Bynum, Will",4233
331,"Calderon, Jose",8257
23,"Camby, Marcus",5539
484,"Cardinal, Brian",2321
128,"Carroll, Matt",2211
224,"Carter, Vince",7965
856,"Casspi, Omri",6861
773,"Chalmers, Mario",5979
118,"Chandler, Tyson",7894
679,"Chandler, Wilson",9639
91,"Childress, Josh",3464
223,"Collins, Jason",2183
841,"Collison, Darren",9432
172,"Collison, Nick",5771
707,"Conley, Mike",11009
701,"Cook, Daequan",2307
898,"Cousins, DeMarcus",9091
249,"Crawford, Jamal",8656
874,"Crawford, Jordan",4022
852,"Cunningham, Dante",6029
821,"Curry, Stephen",9973
458,"Dalembert, Samuel",7621
3,"Dampier, Erick",3104
14,"Daniels, Marquis",3506
87,"Davis, Baron",6335
932,"Davis, Ed",6170
675,"Davis, Glen",8514
818,"Daye, Austin",5453
279,"Delfino, Carlos",5950
122,"Deng, Luol",12133
860,"Derozan, DeMar",11049
12,"Diaw, Boris",10409
419,"Dooling, Keyon",6551
780,"Douglas-Roberts, Chris",3334
843,"Douglas, Toney",7832
790,"Dragic, Goran",4793
699,"Dudley, Jared",8360
113,"Duhon, Chris",2903
26,"Duncan, Tim",8381
92,"Dunleavy, Mike",6717
714,"Durant, Kevin",11922
838,"Ellington, Wayne",4744
417,"Ellis, Monta",12795
42,"Elson, Francisco",2287
877,"Erden, Semih",2230
276,"Evans, Maurice",6002
163,"Evans, Reggie",3035
857,"Evans, Tyreke",8227
881,"Eyenga, Christian",3711
575,"Farmar, Jordan",6790
911,"Favors, Derrick",5721
126,"Felton, Raymond",11030
734,"Fernandez, Rudy",6760
915,"Fields, Landry",10172
103,"Fisher, Derek",8783
839,"Flynn, Jonny",3940
885,"Forbes, Gary",3239
47,"Ford, T.J.",3000
468,"Foster, Jeff",3635
588,"Foye, Randy",6018
362,"Frye, Channing",9994
784,"Gallinari, Danilo",8453
80,"Garcia, Francisco",5508
285,"Garnett, Kevin",8426
769,"Gasol, Marc",9793
197,"Gasol, Pau",11537
577,"Gay, Rudy",8269
872,"Gee, Alonzo",4303
901,"George, Paul",5042
561,"Gibson, Daniel",7237
811,"Gibson, Taj",6488
24,"Ginobili, Manu",9541
246,"Gomes, Ryan",8109
257,"Gooden, Drew",3194
119,"Gordon, Ben",8006
764,"Gordon, Eric",8195
702,"Gortat, Marcin",7781
317,"Graham, Joey",2250
477,"Graham, Stephen",3585
155,"Granger, Danny",10949
715,"Green, Jeff",9303
541,"Green, Willie",6206
739,"Greene, Donte",4515
827,"Griffin, Blake",12024
270,"Hamilton, Richard",5591
825,"Hansbrough, Tyler",6055
878,"Harangody, Luke",2469
846,"Harden, James",8445
95,"Harrington, Al",6675
15,"Harris, Devin",8494
882,"Harris, Manny",3598
719,"Hawes, Spencer",6531
508,"Hayes, Chuck",8131
934,"Hayward, Gordon",4646
322,"Haywood, Brendan",5021
372,"Head, Luther",2249
809,"Henderson, Gerald",6172
762,"Hibbert, Roy",8891
756,"Hickson, J.J.",8793
34,"Hilario, Nene",9010
793,"Hill, George",8248
486,"Hill, Grant",9559
844,"Hill, Jordan",4357
110,"Hinrich, Kirk",8181
849,"Holiday, Jrue",11138
557,"Hollins, Ryan",4529
695,"Horford, Al",10018
20,"House, Eddie",3681
149,"Howard, Dwight",11145
304,"Howard, Juwan",2211
141,"Humphries, Kris",7739
847,"Ibaka, Serge",8519
52,"Iguodala, Andre",9464
258,"Ilgauskas, Zydrunas",4335
835,"Ilyasova, Ersan",5685
296,"Jack, Jarrett",6376
147,"Jackson, Stephen",9027
260,"James, LeBron",11686
316,"Jamison, Antawn",7241
247,"Jefferson, Al",11188
221,"Jefferson, Richard",9474
315,"Jeffries, Jared",2331
836,"Jennings, Brandon",8208
899,"Jeter, Eugene",3511
693,"Jianlian, Yi",4307
510,"Johnson, Amir",7161
812,"Johnson, James",3191
86,"Johnson, Joe",9455
896,"Johnson, Wesley",8383
212,"Jones, Dahntay",2274
10,"Jones, James",5869
550,"Jones, Solomon",2093
765,"Jordan, DeAndre",7854
164,"Kaman, Chris",3257
222,"Kidd, Jason",10190
136,"Kirilenko, Andrei",7648
640,"Kleiza, Linas",4031
54,"Korver, Kyle",6212
220,"Krstic, Nenad",6076
667,"Landry, Carl",7651
696,"Law, Acie",2833
816,"Lawson, Ty",8468
788,"Lee, Courtney",6709
377,"Lee, David",10504
170,"Lewis, Rashard",7041
483,"Livingston, Shaun",4645
781,"Lopez, Brook",10780
791,"Lopez, Robin",3954
778,"Love, Kevin",10518
579,"Lowry, Kyle",10141
390,"Maggette, Corey",5319
4,"Marion, Shawn",8557
801,"Martin, Cartier",2102
21,"Martin, Kenyon",4869
77,"Martin, Kevin",10391
861,"Matthews, Wes",10229
280,"Maxiell, Jason",3472
862,"Maynor, Eric",4572
771,"Mayo, O.J.",7259
777,"Mbah a Moute, Luc",7751
275,"McDyess, Antonio",5300
798,"McGee, JaVale",8514
305,"McGrady, Tracy",6140
703,"McGuire, Dominic",2833
662,"McRoberts, Josh",6373
837,"Meeks, Jodie",7961
426,"Miles, C.J.",7517
278,"Milicic, Darko",6781
31,"Miller, Andre",9620
65,"Miller, Brad",3973
209,"Miller, Mike",3163
853,"Mills, Patrick",2939
629,"Millsap, Paul",9995
40,"Mohammed, Nazr",4815
886,"Monroe, Greg",8199
682,"Moon, Jamario",4095
800,"Morrow, Anthony",6933
916,"Mozgov, Timofey",2095
8,"Nash, Steve",9896
929,"Neal, Gary",6465
158,"Nelson, Jameer",8760
686,"Noah, Joakim",6006
112,"Nocioni, Andres",3622
5,"Nowitzki, Dirk",9586
203,"O'Neal, Shaquille",2836
187,"Odom, Lamar",9985
117,"Okafor, Emeka",8435
354,"Outlaw, Travis",8810
88,"Pachulia, Zaza",4592
614,"Parker, Anthony",8111
30,"Parker, Tony",9834
891,"Patterson, Patrick",3330
70,"Paul, Chris",10737
897,"Pekovic, Nikola",3549
253,"Perkins, Kendrick",2851
168,"Petro, Johan",3323
240,"Pierce, Paul",10496
98,"Pietrus, Mickael",4238
914,"Pondexter, Quincy",2632
401,"Posey, James",3272
430,"Powell, Josh",2492
826,"Price, A.J.",3075
85,"Price, Ronnie",2656
272,"Prince, Tayshaun",9390
180,"Radmanovic, Vladimir",4594
746,"Randolph, Anthony",2398
287,"Randolph, Zach",10351
599,"Redick, J.J.",5874
90,"Richardson, Jason",10524
237,"Richardson, Quentin",3621
173,"Ridnour, Luke",8714
254,"Robinson, Nate",3828
553,"Rondo, Rajon",9577
755,"Rose, Derrick",11470
606,"Roy, Brandon",4767
763,"Rush, Brandon",6890
